name,record,weight_class,nick_name
Michel Batista,0-1-0 (W-L-D),Heavyweight,"""El Panda"""
Bryan Battle,13-2-0 (W-L-D),Middleweight,"""The Butcher"""
Alan Baudot,8-3-0 (W-L-D),Heavyweight,"""The Black Samourai"""
Mario Bautista,16-2-0 (W-L-D),Bantamweight,
Chris Beal,10-3-0 (W-L-D),Flyweight,"""The Real Deal"""
Donavan Beard,0-1-0 (W-L-D),Middleweight,
Ariel Beck,4-5-0 (W-L-D),Women's Flyweight,
Johnny Bedford,19-13-1 (W-L-D),Bantamweight,"""Brutal"""
Rolando Bedoya,14-4-0 (W-L-D),Lightweight,"""The Machine """
Allan Begosso,0-1-0 (W-L-D),Bantamweight,"""Mini"""
Azamat Bekoev,20-3-0 (W-L-D),Middleweight,"""Iron"""
Mirsad Bektic,13-4-0 (W-L-D),Featherweight,
Diana Belbita,15-10-0 (W-L-D),Women's Flyweight,"""The Warrior Princess"""
Alan Belcher,17-7-0 (W-L-D),Middleweight,"""The Talent"""
Vitor Belfort,26-14-0 (W-L-D),Middleweight,"""The Phenom"""
Yousri Belgaroui,1-1-0 (W-L-D),Middleweight,
Cody Belisle,0-0-0 (W-L-D),Light Heavyweight,"""Bodacious"""
Rodolfo Bellato,12-2-1 (W-L-D),Light Heavyweight,"""Trator"""
Danilo Belluardo,12-5-0 (W-L-D),Lightweight,"""Caterpillar"""
Marco Beltran,8-7-0 (W-L-D),Flyweight,"""Psycho"""
Joey Beltran,14-9-0 (W-L-D),Light Heavyweight,"""The Mexicutioner"""
Joseph Benavidez,28-8-0 (W-L-D),Flyweight,
Dave Beneteau,0-0-0 (W-L-D),Heavyweight,
Gabriel Benitez,23-13-0 (W-L-D),Lightweight,"""Moggly"""
DeAnna Bennett,8-3-1 (W-L-D),Women's Flyweight,"""Vitamin D"""
Lance Benoist,7-2-0 (W-L-D),Welterweight,
Ryan Benoit,10-8-0 (W-L-D),Flyweight,"""Baby Face"""
Steve Berger,15-6-3 (W-L-D),Welterweight,"""Red Nose"""
Kenneth Bergh,6-0-0 (W-L-D),Light Heavyweight,
Keith Berish,5-1-0 (W-L-D),Middleweight,"""Sha Bang Bang"""
Dennis Bermudez,18-9-0 (W-L-D),Lightweight,"""The Menace"""
Manny Bermudez,14-2-0 (W-L-D),Bantamweight,"""The Bermudez Triangle"""
Talita Bernardo,6-4-0 (W-L-D),Women's Bantamweight,
Dave Berry,0-0-0 (W-L-D),N/A,
Dieusel Berto,0-0-0 (W-L-D),N/A,
Allen Berube,2-1-0 (W-L-D),Lightweight,"""Monstah"""
Anton Berzin,5-2-0 (W-L-D),Light Heavyweight,"""The Body Snatcher"""
Scott Bessac,0-0-0 (W-L-D),N/A,
Matt Bessette,22-9-0 (W-L-D),Featherweight,"""The Mangler"""
Khadzhimurat Bestaev,0-1-0 (W-L-D),Middleweight,
KB Bhullar,8-2-0 (W-L-D),Middleweight,"""The Bengal"""
Magomed Bibulatov,14-2-0 (W-L-D),Flyweight,"""Chaborz"""
David Bielkheden,13-7-0 (W-L-D),Lightweight,
Blake Bilder,8-2-1 (W-L-D),Featherweight,"""El Animal"""
Jonas Bilharinho,1-0-0 (W-L-D),Featherweight,
Xie Bin,2-3-0 (W-L-D),Featherweight,
Anthony Birchak,16-8-0 (W-L-D),Bantamweight,"""El Toro"""
Chris Birchler,7-4-0 (W-L-D),Light Heavyweight,
Michael Bisping,31-9-0 (W-L-D),Middleweight,"""The Count"""
Amaury Bitetti,0-0-0 (W-L-D),Middleweight,
Caio Bittencourt,0-1-0 (W-L-D),Middleweight,
Simon Biyong,0-0-0 (W-L-D),Light Heavyweight,
Jan Błachowicz,29-11-1 (W-L-D),Light Heavyweight,
Jason Black,22-4-1 (W-L-D),Lightweight,
Brad Blackburn,15-11-1 (W-L-D),Welterweight,"""Bad"""
Tom Blackledge,10-7-0 (W-L-D),Light Heavyweight,"""The Juggernaut"""
Sherrard Blackledge,1-1-0 (W-L-D),Lightweight,
Da'Mon Blackshear,17-7-1 (W-L-D),Bantamweight,"""The Monster"""
Erin Blanchfield,13-2-0 (W-L-D),Women's Flyweight,"""Cold Blooded"""
Maximo Blanco,12-8-1 (W-L-D),Featherweight,"""Maxi"""
Curtis Blaydes,19-5-0 (W-L-D),Heavyweight,"""Razor"""
Tereza Bleda,7-1-0 (W-L-D),Women's Flyweight,
Byron Bloodworth,6-3-0 (W-L-D),Bantamweight,
Dashawn Boatwright,3-2-0 (W-L-D),Light Heavyweight,"""Buck, the 400-pound Silverback"""
Daniel Bobish,0-0-0 (W-L-D),Heavyweight,
Mark Bocek,12-5-0 (W-L-D),Lightweight,
Kyle Bochniak,8-5-0 (W-L-D),Featherweight,"""Crash"""
James Bochnovic,8-3-0 (W-L-D),Middleweight,
Tim Boetsch,21-13-0 (W-L-D),Middleweight,"""The Barbarian"""
Galore Bofando,5-3-0 (W-L-D),Welterweight,
Roman Bogatov,10-1-0 (W-L-D),Lightweight,
Jerry Bohlander,0-0-0 (W-L-D),Middleweight,
Mandy Böhm,8-2-0 (W-L-D),Women's Flyweight,"""Monster"""
Gaston Bolanos,8-5-0 (W-L-D),Bantamweight,"""DreamKiller"""
Denys Bondar,14-5-0 (W-L-D),Flyweight,"""Psycho"""
Ismael Bonfim,20-5-0 (W-L-D),Lightweight,"""Marreta"""
Gabriel Bonfim,17-1-0 (W-L-D),Welterweight,"""Marretinha"""
Jesse Bongfeldt,15-5-1 (W-L-D),Middleweight,"""Water"""
Stephan Bonnar,17-8-0 (W-L-D),Light Heavyweight,"""American Psycho"""
Michael Bonnette,0-0-0 (W-L-D),Welterweight,"""No Mercy"""
Rogerio Bontorin,17-4-0 (W-L-D),Flyweight,
Ray Borg,13-5-0 (W-L-D),Bantamweight,"""The Tazmexican Devil"""
Kevin Borjas,10-3-0 (W-L-D),Flyweight,"""El Gallo Negro"""
Calen Born,7-1-0 (W-L-D),Welterweight,
Caio Borralho,17-1-0 (W-L-D),Middleweight,"""The Natural"""
Zach Borrego,0-1-0 (W-L-D),Middleweight,
Viacheslav Borshchev,8-6-1 (W-L-D),Lightweight,"""Slava Claus"""
Tanner Boser,21-10-1 (W-L-D),Light Heavyweight,"""The Bulldozer"""
Steve Bosse,12-2-0 (W-L-D),Light Heavyweight,"""The Boss"""
Marcus Bossett,0-0-0 (W-L-D),N/A,
Poliana Botelho,8-5-0 (W-L-D),Women's Flyweight,
Tai Bowden,0-0-0 (W-L-D),N/A,
Melton Bowen,0-0-0 (W-L-D),N/A,
Kyron Bowen,0-1-0 (W-L-D),Middleweight,
Brian Bowles,10-3-0 (W-L-D),Bantamweight,
Roger Bowling,11-5-0 (W-L-D),Lightweight,"""Relentless"""
Anvar Boynazarov,0-1-0 (W-L-D),Featherweight,
Kyle Bradley,14-7-0 (W-L-D),Lightweight,
Paul Bradley,18-4-0 (W-L-D),Welterweight,"""The Gentleman"""
Sean Brady,18-1-0 (W-L-D),Welterweight,
Ebenezer Braga,0-0-0 (W-L-D),Middleweight,
Ramiz Brahimaj,12-5-0 (W-L-D),Welterweight,
Joe Brammer,7-2-1 (W-L-D),Lightweight,"""The South Side Strangler"""
David Branch,22-6-0 (W-L-D),Middleweight,
Diego Brandao,24-11-0 (W-L-D),Featherweight,"""DB"""
Bruna Brasil,10-5-1 (W-L-D),Women's Strawweight,
Martin Bravo,12-3-0 (W-L-D),Featherweight,"""El Toro"""
Mike Breeden,11-6-0 (W-L-D),Lightweight,"""Money"""
Tom Breese,12-3-0 (W-L-D),Middleweight,
Elves Brener,16-5-0 (W-L-D),Lightweight,
Chris Brennan,11-5-1 (W-L-D),Welterweight,"""The Westside Strangler"""
Charlie Brenneman,19-8-0 (W-L-D),Lightweight,"""The Spaniard"""
Marcos Brigagao,0-0-0 (W-L-D),Light Heavyweight,
Jason Brilz,18-5-1 (W-L-D),Light Heavyweight,"""Hitman"""
Marcus Brimage,7-5-0 (W-L-D),Bantamweight,"""The Bama Beast"""
Aaron Brink,8-3-0 (W-L-D),Heavyweight,
Henry Briones,19-8-1 (W-L-D),Bantamweight,"""Bure"""
Kaik Brito,0-1-0 (W-L-D),Welterweight,
Joanderson Brito,17-5-1 (W-L-D),Featherweight,"""Tubarao"""
Antwain Britt,0-0-0 (W-L-D),Middleweight,"""The Juggernaut"""
Jarred Brooks,14-2-0 (W-L-D),Flyweight,"""The Monkey God"""
Will Brooks,18-4-0 (W-L-D),Lightweight,"""Ill Will"""
Rob Broughton,15-7-1 (W-L-D),Heavyweight,"""The Bear"""
TJ Brown,17-11-0 (W-L-D),Featherweight,"""Downtown"""
Humberto Brown,4-5-0 (W-L-D),Featherweight,"""El Gato Negro"""
Damien Brown,17-12-0 (W-L-D),Lightweight,"""Beatdown"""
Randy Brown,20-6-0 (W-L-D),Welterweight,"""Rudeboy"""
Todd Brown,15-3-0 (W-L-D),Light Heavyweight,"""Bulldog"""
Mike Brown,26-9-0 (W-L-D),Featherweight,
Matt Brown,26-19-0 (W-L-D),Welterweight,"""The Immortal"""
Travis Browne,18-7-1 (W-L-D),Heavyweight,"""Hapa"""
Junie Browning,3-2-0 (W-L-D),Lightweight,"""The Lunatic"""
Jules Bruchez,0-1-0 (W-L-D),Light Heavyweight,"""Cotton Mouth from the South"""
Stephanie Luciano,6-2-1 (W-L-D),Women's Strawweight,"""Rondinha"""
Cody Brundage,11-7-0 (W-L-D),Middleweight,
Steve Bruno,13-5-0 (W-L-D),Welterweight,"""Hollywood"""
Derek Brunson,23-9-0 (W-L-D),Middleweight,"""The 1"""
Dennis Bryant,5-2-0 (W-L-D),Light Heavyweight,"""The Beard"""
Josh Bryant,10-2-0 (W-L-D),Middleweight,"""The Beast"""
Robert Bryczek,17-6-0 (W-L-D),Middleweight,
Lukasz Brzeski,9-6-1 (W-L-D),Heavyweight,"""The Bull"""
Marcus Buchecha,0-0-0 (W-L-D),Heavyweight,
Justin Buchholz,9-5-0 (W-L-D),Lightweight,
Joaquin Buckley,21-7-0 (W-L-D),Welterweight,"""New Mansa"""
Martin Buday,15-2-0 (W-L-D),Heavyweight,"""Badys"""
Dylan Budka,7-5-0 (W-L-D),Middleweight,"""The Mindless Hulk """
Paul Buentello,25-12-0 (W-L-D),Heavyweight,"""The Headhunter"""
Modestas Bukauskas,18-6-0 (W-L-D),Light Heavyweight,"""The Baltic Gladiator"""
Felipe Bunes,14-7-0 (W-L-D),Flyweight,"""Felipinho"""
Wuliji Buren,10-8-0 (W-L-D),Bantamweight,"""Beast Master"""
Shane Burgos,15-3-0 (W-L-D),Featherweight,"""Hurricane"""
Joshua Burkman,29-17-0 (W-L-D),Welterweight,"""The People's Warrior"""
Justin Burlinson,0-1-0 (W-L-D),Welterweight,
Mads Burnell,9-3-0 (W-L-D),Featherweight,
Mikey Burnett,0-0-0 (W-L-D),Lightweight,"""The Eastside Assassin"""
Herbert Burns,11-6-0 (W-L-D),Featherweight,"""The Blaze"""
Gilbert Burns,22-9-0 (W-L-D),Welterweight,"""Durinho"""
Kevin Burns,8-4-0 (W-L-D),Welterweight,"""The Fire"""
Nah-Shon Burrell,9-3-0 (W-L-D),Welterweight,"""The Rock n Rolla"""
Martin Buschkamp,9-0-0 (W-L-D),Featherweight,"""Barracuda"""
Bubba Bush,8-3-0 (W-L-D),Middleweight,"""The Fighting Texas Aggie"""
Dakota Bush,8-4-0 (W-L-D),Lightweight,"""Hairy"""
Murilo Bustamante,11-1-1 (W-L-D),Middleweight,
Todd Butler,0-0-0 (W-L-D),Lightweight,
Jesse Butler,12-6-0 (W-L-D),Bantamweight,
JP Buys,9-6-0 (W-L-D),Bantamweight,"""Young Savage"""
Dennis Buzukja,12-5-0 (W-L-D),Featherweight,"""The Great"""
Charles Byrd,10-7-0 (W-L-D),Middleweight,"""Kid Dynamite"""
Steve Byrnes,6-1-0 (W-L-D),Middleweight,"""The Sergeant"""
Yan Cabral,12-3-0 (W-L-D),Lightweight,
Alex Caceres,21-15-0 (W-L-D),Featherweight,"""Bruce Leeroy"""
Vince Cachero,7-4-0 (W-L-D),Bantamweight,"""The Anomaly"""
Priscila Cachoeira,13-6-0 (W-L-D),Women's Bantamweight,"""Zombie Girl"""
Ricky Calatayud,0-0-0 (W-L-D),Flyweight,
Nicolle Caliari,8-3-0 (W-L-D),Women's Flyweight,
Taylor Callens,0-0-0 (W-L-D),Lightweight,
Cynthia Calvillo,9-6-1 (W-L-D),Women's Strawweight,
